127.0.0.1 - - [13/May/2017:23:44:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/May/2017:23:44:32 +0530] "GET /RestFulWebservice/ HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [13/May/2017:23:44:58 +0530] "GET /RestFulWebservice/rest/emp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [13/May/2017:23:45:18 +0530] "GET /RestFulWebservice/rest/ HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:45:36 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:45:40 +0530] "GET /RestFulWebservice/rest/emp/message/ HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:45:47 +0530] "GET /RestFulWebservice/rest/emp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:01 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:16 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:16 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:16 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:17 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:17 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:17 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:17 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:18 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:18 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:18 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:18 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:18 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:19 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:19 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:20 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:21 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:21 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:22 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:22 +0530] "GET /RestFulWebservice/rest/emp/message HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:41 +0530] "GET /RestFulWebservice/rest/emp/message/ HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [13/May/2017:23:46:47 +0530] "GET /RestFulWebservice/rest/emp/ HTTP/1.1" 200 25
